ID,title,authors,published,updated,abstract,categories,citations,arxiv_url,gscholar_url,journal
10,Convolutional Sparse Coding for High Dynamic Range Imaging,"['Felix Heide', 'Diego Gutierrez', 'Gordon Wetzstein', 'Ana Serrano', 'Belen Masia']",2018-06-13T10:48:33Z,2018-06-13T10:48:33Z,"Current HDR acquisition techniques are based on either (i) fusingmultibracketed, low dynamic range (LDR) images, (ii) modifying existinghardware and capturing different exposures simultaneously with multiplesensors, or (iii) reconstructing a single image with spatially-varying pixelexposures. In this paper, we propose a novel algorithm to recover high-qualityHDRI images from a single, coded exposure. The proposed reconstruction methodbuilds on recently-introduced ideas of convolutional sparse coding (CSC); thispaper demonstrates how to make CSC practical for HDR imaging. We demonstratethat the proposed algorithm achieves higher-quality reconstructions thanalternative methods, we evaluate optical coding schemes, analyze algorithmicparameters, and build a prototype coded HDR camera that demonstrates theutility of convolutional sparse HDRI coding with a custom hardware platform.","['cs.CV', 'cs.GR', 'eess.IV']",58,http://arxiv.org/abs/1806.04942v1,http://scholar.google.com/scholar?oi=bibs&cluster=16614517772020097554&btnI=1&nossl=1&hl=en&oe=ASCII,"Computer Graphics Forum 35 (2), 153-163"
11,DeepMimic: Example-Guided Deep Reinforcement Learning of Physics-Based  Character Skills,"['Sergey Levine', 'Pieter Abbeel', 'Michiel van de Panne', 'Xue Bin Peng']",2018-04-08T17:04:58Z,2018-07-27T03:44:10Z,"A longstanding goal in character animation is to combine data-drivenspecification of behavior with a system that can execute a similar behavior ina physical simulation, thus enabling realistic responses to perturbations andenvironmental variation. We show that well-known reinforcement learning (RL)methods can be adapted to learn robust control policies capable of imitating abroad range of example motion clips, while also learning complex recoveries,adapting to changes in morphology, and accomplishing user-specified goals. Ourmethod handles keyframed motions, highly-dynamic actions such asmotion-captured flips and spins, and retargeted motions. By combining amotion-imitation objective with a task objective, we can train characters thatreact intelligently in interactive settings, e.g., by walking in a desireddirection or throwing a ball at a user-specified target. This approach thuscombines the convenience and motion quality of using motion clips to define thedesired style and appearance, with the flexibility and generality afforded byRL methods and physics-based animation. We further explore a number of methodsfor integrating multiple clips into the learning process to developmulti-skilled agents capable of performing a rich repertoire of diverse skills.We demonstrate results using multiple characters (human, Atlas robot, bipedaldinosaur, dragon) and a large variety of skills, including locomotion,acrobatics, and martial arts.","['cs.GR', 'cs.AI', 'cs.LG']",230,http://arxiv.org/abs/1804.02717v3,http://scholar.google.com/scholar?oi=bibs&cluster=15283892025726236675&btnI=1&nossl=1&hl=en&oe=ASCII,"ACM Transactions on Graphics (TOG) 37 (4), 1-14"
12,Visual Analytics for Explainable Deep Learning,"['Jaegul Choo', 'Shixia Liu']",2018-04-07T07:52:04Z,2018-04-07T07:52:04Z,"Recently, deep learning has been advancing the state of the art in artificialintelligence to a new level, and humans rely on artificial intelligencetechniques more than ever. However, even with such unprecedented advancements,the lack of explanation regarding the decisions made by deep learning modelsand absence of control over their internal processes act as major drawbacks incritical decision-making processes, such as precision medicine and lawenforcement. In response, efforts are being made to make deep learninginterpretable and controllable by humans. In this paper, we review visualanalytics, information visualization, and machine learning perspectivesrelevant to this aim, and discuss potential challenges and future researchdirections.","['cs.HC', 'cs.LG', 'stat.ML', 'I.6.9.c']",58,http://arxiv.org/abs/1804.02527v1,http://scholar.google.com/scholar?oi=bibs&cluster=9171929386321989566&btnI=1&nossl=1&hl=en&oe=ASCII,"IEEE Computer Graphics and Applications 38 (4), 84-92"
13,Real-Time User-Guided Image Colorization with Learned Deep Priors,"['Angela S. Lin', 'Xinyang Geng', 'Jun-Yan Zhu', 'Phillip Isola', 'Richard Zhang', 'Alexei A. Efros', 'Tianhe Yu']",2017-05-08T17:58:11Z,2017-05-08T17:58:11Z,"We propose a deep learning approach for user-guided image colorization. Thesystem directly maps a grayscale image, along with sparse, local user ""hints""to an output colorization with a Convolutional Neural Network (CNN). Ratherthan using hand-defined rules, the network propagates user edits by fusinglow-level cues along with high-level semantic information, learned fromlarge-scale data. We train on a million images, with simulated user inputs. Toguide the user towards efficient input selection, the system recommends likelycolors based on the input image and current user inputs. The colorization isperformed in a single feed-forward pass, enabling real-time use. Even withrandomly simulated user inputs, we show that the proposed system helps noviceusers quickly create realistic colorizations, and offers large improvements incolorization quality with just a minute of use. In addition, we demonstratethat the framework can incorporate other user ""hints"" to the desiredcolorization, showing an application to color histogram transfer. Our code andmodels are available at https://richzhang.github.io/ideepcolor.","['cs.CV', 'cs.GR']",165,http://arxiv.org/abs/1705.02999v1,http://scholar.google.com/scholar?oi=bibs&cluster=2711985086398037736&btnI=1&nossl=1&hl=en&oe=ASCII,"ACM Transactions on Graphics (TOG) 36 (4), 1-11"
14,Human Pose Regression by Combining Indirect Part Detection and  Contextual Information,"['David Picard', 'Hedi Tabia', 'Diogo C. Luvizon']",2017-10-06T09:27:44Z,2017-10-06T09:27:44Z,"In this paper, we propose an end-to-end trainable regression approach forhuman pose estimation from still images. We use the proposed Soft-argmaxfunction to convert feature maps directly to joint coordinates, resulting in afully differentiable framework. Our method is able to learn heat mapsrepresentations indirectly, without additional steps of artificial ground truthgeneration. Consequently, contextual information can be included to the posepredictions in a seamless way. We evaluated our method on two very challengingdatasets, the Leeds Sports Poses (LSP) and the MPII Human Pose datasets,reaching the best performance among all the existing regression methods andcomparable results to the state-of-the-art detection based approaches.",['cs.CV'],47,http://arxiv.org/abs/1710.02322v1,http://scholar.google.com/scholar?oi=bibs&cluster=13722513634620778734&btnI=1&nossl=1&hl=en&oe=ASCII,"Computers & Graphics 85, 15-22"
15,Learning-Based View Synthesis for Light Field Cameras,"['Nima Khademi Kalantari', 'Ravi Ramamoorthi', 'Ting-Chun Wang']",2016-09-09T23:33:38Z,2016-09-09T23:33:38Z,"With the introduction of consumer light field cameras, light field imaginghas recently become widespread. However, there is an inherent trade-off betweenthe angular and spatial resolution, and thus, these cameras often sparselysample in either spatial or angular domain. In this paper, we use machinelearning to mitigate this trade-off. Specifically, we propose a novellearning-based approach to synthesize new views from a sparse set of inputviews. We build upon existing view synthesis techniques and break down theprocess into disparity and color estimation components. We use two sequentialconvolutional neural networks to model these two components and train bothnetworks simultaneously by minimizing the error between the synthesized andground truth images. We show the performance of our approach using only fourcorner sub-aperture views from the light fields captured by the Lytro Illumcamera. Experimental results show that our approach synthesizes high-qualityimages that are superior to the state-of-the-art techniques on a variety ofchallenging real-world scenes. We believe our method could potentially decreasethe required angular resolution of consumer light field cameras, which allowstheir spatial resolution to increase.","['cs.CV', 'cs.GR', 'I.4.1']",256,http://arxiv.org/abs/1609.02974v1,http://scholar.google.com/scholar?oi=bibs&cluster=16849875977468061323&btnI=1&nossl=1&hl=en&oe=ASCII,"ACM Transactions on Graphics (TOG) 35 (6), 1-10"
16,Partial Functional Correspondence,"['Emanuele Rodolà', 'Daniel Cremers', 'Luca Cosmo', 'Michael M. Bronstein', 'Andrea Torsello']",2015-06-17T10:47:20Z,2015-12-22T12:57:25Z,"In this paper, we propose a method for computing partial functionalcorrespondence between non-rigid shapes. We use perturbation analysis to showhow removal of shape parts changes the Laplace-Beltrami eigenfunctions, andexploit it as a prior on the spectral representation of the correspondence.Corresponding parts are optimization variables in our problem and are used toweight the functional correspondence; we are looking for the largest and mostregular (in the Mumford-Shah sense) parts that minimize correspondencedistortion. We show that our approach can cope with very challengingcorrespondence settings.",['cs.CV'],114,http://arxiv.org/abs/1506.05274v2,http://scholar.google.com/scholar?oi=bibs&cluster=5825378212777391556&btnI=1&nossl=1&hl=en&oe=ASCII,"Computer Graphics Forum 36 (1), 222-236"
17,Visual Analytics in Deep Learning: An Interrogative Survey for the Next  Frontiers,"['Duen Horng Chau', 'Robert Pienta', 'Fred Hohman', 'Minsuk Kahng']",2018-01-21T20:13:07Z,2018-05-14T04:59:24Z,"Deep learning has recently seen rapid development and received significantattention due to its state-of-the-art performance on previously-thought hardproblems. However, because of the internal complexity and nonlinear structureof deep neural networks, the underlying decision making processes for why thesemodels are achieving such performance are challenging and sometimes mystifyingto interpret. As deep learning spreads across domains, it is of paramountimportance that we equip users of deep learning with tools for understandingwhen a model works correctly, when it fails, and ultimately how to improve itsperformance. Standardized toolkits for building neural networks have helpeddemocratize deep learning; visual analytics systems have now been developed tosupport model explanation, interpretation, debugging, and improvement. Wepresent a survey of the role of visual analytics in deep learning research,which highlights its short yet impactful history and thoroughly summarizes thestate-of-the-art using a human-centered interrogative framework, focusing onthe Five W's and How (Why, Who, What, How, When, and Where). We conclude byhighlighting research directions and open research problems. This survey helpsresearchers and practitioners in both visual analytics and deep learning toquickly learn key aspects of this young and rapidly growing body of research,whose impact spans a diverse range of domains.","['cs.HC', 'cs.AI', 'cs.LG', 'stat.ML', 'H.5.2; I.5.1.d; I.6.9.c; I.6.9.f; I.2.6.g']",153,http://arxiv.org/abs/1801.06889v3,http://scholar.google.com/scholar?oi=bibs&cluster=17948803302752343025&btnI=1&nossl=1&hl=en&oe=ASCII,"IEEE Transactions on Visualization and Computer Graphics 25 (8), 2674-2693"
18,Exploring the Limits of Complexity: A Survey of Empirical Studies on  Graph Visualisation,"['Hsiang-Yun Wu', 'Stephan Diehl', 'Daniel Archambault', 'Vahan Yoghourdjian', 'Karsten Klein', 'Tim Dwyer', 'Helen C. Purchase']",2018-09-02T00:03:54Z,2018-09-02T00:03:54Z,"For decades, researchers in information visualisation and graph drawing havefocused on developing techniques for the layout and display of very large andcomplex networks. Experiments involving human participants have also exploredthe readability of different styles of layout and representations for suchnetworks. In both bodies of literature, networks are frequently referred to asbeing 'large' or 'complex', yet these terms are relative. From a human-centred,experiment point-of-view, what constitutes 'large' (for example) depends onseveral factors, such as data complexity, visual complexity, and the technologyused. In this paper, we survey the literature on human-centred experiments tounderstand how, in practice, different features and characteristics ofnode-link diagrams affect visual complexity.",['cs.HC'],11,http://arxiv.org/abs/1809.00270v1,http://scholar.google.com/scholar?oi=bibs&cluster=17065671282143514810&btnI=1&nossl=1&hl=en&oe=ASCII,"Visual Informatics 2 (4), 264-282"
19,From 3D Models to 3D Prints: an Overview of the Processing Pipeline,"['Marco Attene', 'Jonás Martìnez', 'Marco Livesu', 'Sylvain Lefebvre', 'Stefano Ellero']",2017-05-10T15:12:14Z,2017-09-21T09:35:30Z,"Due to the wide diffusion of 3D printing technologies, geometric algorithmsfor Additive Manufacturing are being invented at an impressive speed. Eachsingle step, in particular along the Process Planning pipeline, can now counton dozens of methods that prepare the 3D model for fabrication, while analysingand optimizing geometry and machine instructions for various objectives. Thisreport provides a classification of this huge state of the art, and elicits therelation between each single algorithm and a list of desirable objectivesduring Process Planning. The objectives themselves are listed and discussed,along with possible needs for tradeoffs. Additive Manufacturing technologiesare broadly categorized to explicitly relate classes of devices and supportedfeatures. Finally, this report offers an analysis of the state of the art whilediscussing open and challenging problems from both an academic and anindustrial perspective.",['cs.GR'],74,http://arxiv.org/abs/1705.03811v2,http://scholar.google.com/scholar?oi=bibs&cluster=15259216674538466453&btnI=1&nossl=1&hl=en&oe=ASCII,"Computer Graphics Forum 36 (2), 537-564"
20,Notions of optimal transport theory and how to implement them on a  computer,"['Bruno Levy', 'Erica Schwindt']",2017-10-07T04:55:17Z,2017-10-07T04:55:17Z,"This article gives an introduction to optimal transport, a mathematicaltheory that makes it possible to measure distances between functions (ordistances between more general objects), to interpolate between objects or toenforce mass/volume conservation in certain computational physics simulations.Optimal transport is a rich scientific domain, with active researchcommunities, both on its theoretical aspects and on more applicativeconsiderations, such as geometry processing and machine learning. This articleaims at explaining the main principles behind the theory of optimal transport,introduce the different involved notions, and more importantly, how theyrelate, to let the reader grasp an intuition of the elegant theory thatstructures them. Then we will consider a specific setting, calledsemi-discrete, where a continuous function is transported to a discrete sum ofDirac masses. Studying this specific setting naturally leads to an efficientcomputational algorithm, that uses classical notions of computational geometry,such as a generalization of Voronoi diagrams called Laguerre diagrams.","['math.AP', 'math.NA', '49M15, 35J96, 65D18']",37,http://arxiv.org/abs/1710.02634v1,http://scholar.google.com/scholar?oi=bibs&cluster=3949198417924923866&btnI=1&nossl=1&hl=en&oe=ASCII,"Computers & Graphics 72, 135-148"
21,3D Shape Segmentation via Shape Fully Convolutional Networks,"['Panpan Shui', 'Zhengxing Sun', 'Fenggen Yu', 'Songle Chen', 'Yuan Gan', 'Pengyu Wang', 'Yan Zhang']",2017-02-28T07:26:55Z,2018-05-26T01:45:21Z,"We desgin a novel fully convolutional network architecture for shapes,denoted by Shape Fully Convolutional Networks (SFCN). 3D shapes are representedas graph structures in the SFCN architecture, based on novel graph convolutionand pooling operations, which are similar to convolution and pooling operationsused on images. Meanwhile, to build our SFCN architecture in the original imagesegmentation fully convolutional network (FCN) architecture, we also design andimplement a generating operation} with bridging function. This ensures that theconvolution and pooling operation we have designed can be successfully appliedin the original FCN architecture. In this paper, we also present a new shapesegmentation approach based on SFCN. Furthermore, we allow more general andchallenging input, such as mixed datasets of different categories of shapes}which can prove the ability of our generalisation. In our approach, SFCNs aretrained triangles-to-triangles by using three low-level geometric features asinput. Finally, the feature voting-based multi-label graph cuts is adopted tooptimise the segmentation results obtained by SFCN prediction. The experimentresults show that our method can effectively learn and predict mixed shapedatasets of either similar or different characteristics, and achieve excellentsegmentation results.",['cs.CV'],30,http://arxiv.org/abs/1702.08675v3,http://scholar.google.com/scholar?oi=bibs&cluster=1865468074502931614&btnI=1&nossl=1&hl=en&oe=ASCII,"Computers & Graphics 70, 128-139"
22,Deep Bilateral Learning for Real-Time Image Enhancement,"['Jonathan T. Barron', 'Michaël Gharbi', 'Samuel W. Hasinoff', 'Frédo Durand', 'Jiawen Chen']",2017-07-10T14:34:06Z,2017-08-22T19:26:08Z,"Performance is a critical challenge in mobile image processing. Given areference imaging pipeline, or even human-adjusted pairs of images, we seek toreproduce the enhancements and enable real-time evaluation. For this, weintroduce a new neural network architecture inspired by bilateral gridprocessing and local affine color transforms. Using pairs of input/outputimages, we train a convolutional neural network to predict the coefficients ofa locally-affine model in bilateral space. Our architecture learns to makelocal, global, and content-dependent decisions to approximate the desired imagetransformation. At runtime, the neural network consumes a low-resolutionversion of the input image, produces a set of affine transformations inbilateral space, upsamples those transformations in an edge-preserving fashionusing a new slicing node, and then applies those upsampled transformations tothe full-resolution image. Our algorithm processes high-resolution images on asmartphone in milliseconds, provides a real-time viewfinder at 1080presolution, and matches the quality of state-of-the-art approximationtechniques on a large class of image operators. Unlike previous work, our modelis trained off-line from data and therefore does not require access to theoriginal operator at runtime. This allows our model to learn complex,scene-dependent transformations for which no reference implementation isavailable, such as the photographic edits of a human retoucher.","['cs.GR', 'cs.CV']",163,http://arxiv.org/abs/1707.02880v2,http://scholar.google.com/scholar?oi=bibs&cluster=16373356176357810725&btnI=1&nossl=1&hl=en&oe=ASCII,"ACM Transactions on Graphics (TOG) 36 (4), 1-12"
23,Position-Based Multi-Agent Dynamics for Real-Time Crowd Simulation (MiG  paper),"['Alan Litteneker', 'Demetri Terzopoulos', 'Tomer Weiss', 'Chenfanfu Jiang']",2018-02-07T23:37:20Z,2018-02-20T01:58:15Z,"Exploiting the efficiency and stability of Position-Based Dynamics (PBD), weintroduce a novel crowd simulation method that runs at interactive rates forhundreds of thousands of agents. Our method enables the detailed modeling ofper-agent behavior in a Lagrangian formulation. We model short-range andlong-range collision avoidance to simulate both sparse and dense crowds. On theparticles representing agents, we formulate a set of positional constraintsthat can be readily integrated into a standard PBD solver. We augment thetentative particle motions with planning velocities to determine the preferredvelocities of agents, and project the positions onto the constraint manifold toeliminate colliding configurations. The local short-range interaction isrepresented with collision and frictional contact between agents, as in thediscrete simulation of granular materials. We incorporate a cohesion model formodeling collective behaviors and propose a new constraint for dealing withpotential future collisions. Our new method is suitable for use in interactivegames.",['cs.GR'],19,http://arxiv.org/abs/1802.02673v2,http://scholar.google.com/scholar?oi=bibs&cluster=8861249093165917571&btnI=1&nossl=1&hl=en&oe=ASCII,Proceedings of the ACM SIGGRAPH/Eurographics Symposium on Computer Animation …
