ID,title,authors,published,updated,abstract,categories,citations,arxiv_url,gscholar_url,journal
10,A Survey on Recent Advances in Named Entity Recognition from Deep  Learning models,"['Vikas Yadav', 'Steven Bethard']",2019-10-25T00:45:48Z,2019-10-25T00:45:48Z,"Named Entity Recognition (NER) is a key component in NLP systems for questionanswering, information retrieval, relation extraction, etc. NER systems havebeen studied and developed widely for decades, but accurate systems using deepneural networks (NN) have only been introduced in the last few years. Wepresent a comprehensive survey of deep neural network architectures for NER,and contrast them with previous approaches to NER based on feature engineeringand other supervised or semi-supervised learning algorithms. Our resultshighlight the improvements achieved by neural networks, and show howincorporating some of the lessons learned from past work on feature-based NERsystems can yield further improvements.","['cs.CL', 'cs.LG']",126,http://arxiv.org/abs/1910.11470v1,http://scholar.google.com/scholar?oi=bibs&cluster=2301086381693107825&btnI=1&nossl=1&hl=en&oe=ASCII,"COLING, 2145-2158"
11,Adversarial Examples for Evaluating Reading Comprehension Systems,"['Robin Jia', 'Percy Liang']",2017-07-23T18:26:29Z,2017-07-23T18:26:29Z,"Standard accuracy metrics indicate that reading comprehension systems aremaking rapid progress, but the extent to which these systems truly understandlanguage remains unclear. To reward systems with real language understandingabilities, we propose an adversarial evaluation scheme for the StanfordQuestion Answering Dataset (SQuAD). Our method tests whether systems can answerquestions about paragraphs that contain adversarially inserted sentences, whichare automatically generated to distract computer systems without changing thecorrect answer or misleading humans. In this adversarial setting, the accuracyof sixteen published models drops from an average of $75\%$ F1 score to $36\%$;when the adversary is allowed to add ungrammatical sequences of words, averageaccuracy on four models decreases further to $7\%$. We hope our insights willmotivate the development of new models that understand language more precisely.","['cs.CL', 'cs.LG']",507,http://arxiv.org/abs/1707.07328v1,http://scholar.google.com/scholar?oi=bibs&cluster=9214713089423419833&btnI=1&nossl=1&hl=en&oe=ASCII,Proceedings of the 2017 Conference on Empirical Methods in Natural Language …
12,A robust self-learning method for fully unsupervised cross-lingual  mappings of word embeddings,"['Mikel Artetxe', 'Gorka Labaka', 'Eneko Agirre']",2018-05-16T13:23:48Z,2018-05-17T17:21:53Z,"Recent work has managed to learn cross-lingual word embeddings withoutparallel data by mapping monolingual embeddings to a shared space throughadversarial training. However, their evaluation has focused on favorableconditions, using comparable corpora or closely-related languages, and we showthat they often fail in more realistic scenarios. This work proposes analternative approach based on a fully unsupervised initialization thatexplicitly exploits the structural similarity of the embeddings, and a robustself-learning algorithm that iteratively improves this solution. Our methodsucceeds in all tested scenarios and obtains the best published results instandard datasets, even surpassing previous supervised systems. Ourimplementation is released as an open source project athttps://github.com/artetxem/vecmap","['cs.CL', 'cs.AI', 'cs.LG']",223,http://arxiv.org/abs/1805.06297v2,http://scholar.google.com/scholar?oi=bibs&cluster=7012967033921106213&btnI=1&nossl=1&hl=en&oe=ASCII,Proceedings of the 56th Annual Meeting of the Association for Computational …
13,RACE: Large-scale ReAding Comprehension Dataset From Examinations,"['Qizhe Xie', 'Yiming Yang', 'Eduard Hovy', 'Hanxiao Liu', 'Guokun Lai']",2017-04-15T19:31:41Z,2017-12-05T19:36:03Z,"We present RACE, a new dataset for benchmark evaluation of methods in thereading comprehension task. Collected from the English exams for middle andhigh school Chinese students in the age range between 12 to 18, RACE consistsof near 28,000 passages and near 100,000 questions generated by human experts(English instructors), and covers a variety of topics which are carefullydesigned for evaluating the students' ability in understanding and reasoning.In particular, the proportion of questions that requires reasoning is muchlarger in RACE than that in other benchmark datasets for reading comprehension,and there is a significant gap between the performance of the state-of-the-artmodels (43%) and the ceiling human performance (95%). We hope this new datasetcan serve as a valuable resource for research and evaluation in machinecomprehension. The dataset is freely available athttp://www.cs.cmu.edu/~glai1/data/race/ and the code is available athttps://github.com/qizhex/RACE_AR_baselines.","['cs.CL', 'cs.AI', 'cs.LG']",260,http://arxiv.org/abs/1704.04683v5,http://scholar.google.com/scholar?oi=bibs&cluster=16999749681986953093&btnI=1&nossl=1&hl=en&oe=ASCII,Proceedings of the 2017 Conference on Empirical Methods in Natural Language …
14,Neural AMR: Sequence-to-Sequence Models for Parsing and Generation,"['Yejin Choi', 'Ioannis Konstas', 'Luke Zettlemoyer', 'Srinivasan Iyer', 'Mark Yatskar']",2017-04-26T23:53:34Z,2017-08-18T11:28:05Z,"Sequence-to-sequence models have shown strong performance across a broadrange of applications. However, their application to parsing and generatingtext usingAbstract Meaning Representation (AMR)has been limited, due to therelatively limited amount of labeled data and the non-sequential nature of theAMR graphs. We present a novel training procedure that can lift this limitationusing millions of unlabeled sentences and careful preprocessing of the AMRgraphs. For AMR parsing, our model achieves competitive results of 62.1SMATCH,the current best score reported without significant use of external semanticresources. For AMR generation, our model establishes a new state-of-the-artperformance of BLEU 33.8. We present extensive ablative and qualitativeanalysis including strong evidence that sequence-based AMR models are robustagainst ordering variations of graph-to-sequence conversions.",['cs.CL'],145,http://arxiv.org/abs/1704.08381v3,http://scholar.google.com/scholar?oi=bibs&cluster=4497152596276591297&btnI=1&nossl=1&hl=en&oe=ASCII,Proceedings of the 55th Annual Meeting of the Association for Computational …
15,INSIGHT-1 at SemEval-2016 Task 5: Deep Learning for Multilingual  Aspect-based Sentiment Analysis,"['Parsa Ghaffari', 'John G. Breslin', 'Sebastian Ruder']",2016-09-09T11:23:51Z,2016-09-22T10:04:18Z,"This paper describes our deep learning-based approach to multilingualaspect-based sentiment analysis as part of SemEval 2016 Task 5. We use aconvolutional neural network (CNN) for both aspect extraction and aspect-basedsentiment analysis. We cast aspect extraction as a multi-label classificationproblem, outputting probabilities over aspects parameterized by a threshold. Todetermine the sentiment towards an aspect, we concatenate an aspect vector withevery word embedding and apply a convolution over it. Our constrained system(unconstrained for English) achieves competitive results across all languagesand domains, placing first or second in 5 and 7 out of 11 language-domain pairsfor aspect category detection (slot 1) and sentiment polarity (slot 3)respectively, thereby demonstrating the viability of a deep learning-basedapproach for multilingual aspect-based sentiment analysis.","['cs.CL', 'cs.LG']",77,http://arxiv.org/abs/1609.02748v2,http://scholar.google.com/scholar?oi=bibs&cluster=11716705922398054682&btnI=1&nossl=1&hl=en&oe=ASCII,Proceedings of the 10th International Workshop on Semantic Evaluation …
16,Generating Natural Language Adversarial Examples,"['Bo-Jhang Ho', 'Kai-Wei Chang', 'Ahmed Elgohary', 'Yash Sharma', 'Mani Srivastava', 'Moustafa Alzantot']",2018-04-21T17:02:20Z,2018-09-24T20:29:35Z,"Deep neural networks (DNNs) are vulnerable to adversarial examples,perturbations to correctly classified examples which can cause the model tomisclassify. In the image domain, these perturbations are often virtuallyindistinguishable to human perception, causing humans and state-of-the-artmodels to disagree. However, in the natural language domain, smallperturbations are clearly perceptible, and the replacement of a single word candrastically alter the semantics of the document. Given these challenges, we usea black-box population-based optimization algorithm to generate semanticallyand syntactically similar adversarial examples that fool well-trained sentimentanalysis and textual entailment models with success rates of 97% and 70%,respectively. We additionally demonstrate that 92.3% of the successfulsentiment analysis adversarial examples are classified to their original labelby 20 human annotators, and that the examples are perceptibly quite similar.Finally, we discuss an attempt to use adversarial training as a defense, butfail to yield improvement, demonstrating the strength and diversity of ouradversarial examples. We hope our findings encourage researchers to pursueimproving the robustness of DNNs in the natural language domain.",['cs.CL'],134,http://arxiv.org/abs/1804.07998v2,http://scholar.google.com/scholar?oi=bibs&cluster=11405633361755931599&btnI=1&nossl=1&hl=en&oe=ASCII,Proceedings of the 2018 Conference on Empirical Methods in Natural Language …
17,Learning to Understand Phrases by Embedding the Dictionary,"['Anna Korhonen', 'Felix Hill', 'Yoshua Bengio', 'Kyunghyun Cho']",2015-04-02T13:30:27Z,2016-03-22T16:30:17Z,"Distributional models that learn rich semantic word representations are asuccess story of recent NLP research. However, developing models that learnuseful representations of phrases and sentences has proved far harder. Wepropose using the definitions found in everyday dictionaries as a means ofbridging this gap between lexical and phrasal semantics. Neural languageembedding models can be effectively trained to map dictionary definitions(phrases) to (lexical) representations of the words defined by thosedefinitions. We present two applications of these architectures: ""reversedictionaries"" that return the name of a concept given a definition ordescription and general-knowledge crossword question answerers. On both tasks,neural language embedding models trained on definitions from a handful offreely-available lexical resources perform as well or better than existingcommercial systems that rely on significant task-specific engineering. Theresults highlight the effectiveness of both neural embedding architectures anddefinition-based training for developing models that understand phrases andsentences.",['cs.CL'],111,http://arxiv.org/abs/1504.00548v4,http://scholar.google.com/scholar?oi=bibs&cluster=7466390602252058159&btnI=1&nossl=1&hl=en&oe=ASCII,"Transactions of the Association for Computational Linguistics 4, 17-30"
18,Diachronic word embeddings and semantic shifts: a survey,"['Lilja Øvrelid', 'Erik Velldal', 'Terrence Szymanski', 'Andrey Kutuzov']",2018-06-09T20:23:27Z,2018-06-13T11:01:18Z,"Recent years have witnessed a surge of publications aimed at tracing temporalchanges in lexical semantics using distributional methods, particularlyprediction-based word embedding models. However, this vein of research lacksthe cohesion, common terminology and shared practices of more established areasof natural language processing. In this paper, we survey the current state ofacademic research related to diachronic word embeddings and semantic shiftsdetection. We start with discussing the notion of semantic shifts, and thencontinue with an overview of the existing methods for tracing such time-relatedshifts with word embedding models. We propose several axes along which thesemethods can be compared, and outline the main challenges before this emergingsubfield of NLP, as well as prospects and possible applications.",['cs.CL'],74,http://arxiv.org/abs/1806.03537v2,http://scholar.google.com/scholar?oi=bibs&cluster=5286018749390625916&btnI=1&nossl=1&hl=en&oe=ASCII,"COLING, 1384-1397"
19,"HotpotQA: A Dataset for Diverse, Explainable Multi-hop Question  Answering","['Ruslan Salakhutdinov', 'Saizheng Zhang', 'Zhilin Yang', 'William W. Cohen', 'Christopher D. Manning', 'Yoshua Bengio', 'Peng Qi']",2018-09-25T17:28:20Z,2018-09-25T17:28:20Z,"Existing question answering (QA) datasets fail to train QA systems to performcomplex reasoning and provide explanations for answers. We introduce HotpotQA,a new dataset with 113k Wikipedia-based question-answer pairs with four keyfeatures: (1) the questions require finding and reasoning over multiplesupporting documents to answer; (2) the questions are diverse and notconstrained to any pre-existing knowledge bases or knowledge schemas; (3) weprovide sentence-level supporting facts required for reasoning, allowing QAsystems to reason with strong supervision and explain the predictions; (4) weoffer a new type of factoid comparison questions to test QA systems' ability toextract relevant facts and perform necessary comparison. We show that HotpotQAis challenging for the latest QA systems, and the supporting facts enablemodels to improve performance and make explainable predictions.",['cs.CL'],207,http://arxiv.org/abs/1809.09600v1,http://scholar.google.com/scholar?oi=bibs&cluster=14506898183742936331&btnI=1&nossl=1&hl=en&oe=ASCII,Proceedings of the 2018 Conference on Empirical Methods in Natural Language …
20,Attention is not Explanation,"['Sarthak Jain', 'Byron C. Wallace']",2019-02-26T19:59:15Z,2019-05-08T18:05:56Z,"Attention mechanisms have seen wide adoption in neural NLP models. Inaddition to improving predictive performance, these are often touted asaffording transparency: models equipped with attention provide a distributionover attended-to input units, and this is often presented (at least implicitly)as communicating the relative importance of inputs. However, it is unclear whatrelationship exists between attention weights and model outputs. In this work,we perform extensive experiments across a variety of NLP tasks that aim toassess the degree to which attention weights provide meaningful `explanations'for predictions. We find that they largely do not. For example, learnedattention weights are frequently uncorrelated with gradient-based measures offeature importance, and one can identify very different attention distributionsthat nonetheless yield equivalent predictions. Our findings show that standardattention modules do not provide meaningful explanations and should not betreated as though they do. Code for all experiments is available athttps://github.com/successar/AttentionExplanation.","['cs.CL', 'cs.AI']",145,http://arxiv.org/abs/1902.10186v3,http://scholar.google.com/scholar?oi=bibs&cluster=14891363743328834570&btnI=1&nossl=1&hl=en&oe=ASCII,"NAACL-HLT (1), 3543-3556"
21,Tensor Fusion Network for Multimodal Sentiment Analysis,"['Soujanya Poria', 'Louis-Philippe Morency', 'Minghai Chen', 'Amir Zadeh', 'Erik Cambria']",2017-07-23T05:54:20Z,2017-07-23T05:54:20Z,"Multimodal sentiment analysis is an increasingly popular research area, whichextends the conventional language-based definition of sentiment analysis to amultimodal setup where other relevant modalities accompany language. In thispaper, we pose the problem of multimodal sentiment analysis as modelingintra-modality and inter-modality dynamics. We introduce a novel model, termedTensor Fusion Network, which learns both such dynamics end-to-end. The proposedapproach is tailored for the volatile nature of spoken language in onlinevideos as well as accompanying gestures and voice. In the experiments, ourmodel outperforms state-of-the-art approaches for both multimodal and unimodalsentiment analysis.",['cs.CL'],199,http://arxiv.org/abs/1707.07250v1,http://scholar.google.com/scholar?oi=bibs&cluster=9429518738344004114&btnI=1&nossl=1&hl=en&oe=ASCII,Proceedings of the 2017 Conference on Empirical Methods in Natural Language …
22,Morphological Inflection Generation Using Character Sequence to Sequence  Learning,"['Chris Dyer', 'Graham Neubig', 'Manaal Faruqui', 'Yulia Tsvetkov']",2015-12-18T20:48:26Z,2016-03-22T01:02:01Z,Morphological inflection generation is the task of generating the inflectedform of a given lemma corresponding to a particular linguistic transformation.We model the problem of inflection generation as a character sequence tosequence learning problem and present a variant of the neural encoder-decodermodel for solving it. Our model is language independent and can be trained inboth supervised and semi-supervised settings. We evaluate our system on sevendatasets of morphologically rich languages and achieve either better orcomparable results to existing state-of-the-art models of inflectiongeneration.,['cs.CL'],112,http://arxiv.org/abs/1512.06110v3,http://scholar.google.com/scholar?oi=bibs&cluster=699564305518798938&btnI=1&nossl=1&hl=en&oe=ASCII,"HLT-NAACL, 634-643"
23,End-to-end Sequence Labeling via Bi-directional LSTM-CNNs-CRF,"['Eduard Hovy', 'Xuezhe Ma']",2016-03-04T05:55:02Z,2016-05-29T00:42:15Z,"State-of-the-art sequence labeling systems traditionally require largeamounts of task-specific knowledge in the form of hand-crafted features anddata pre-processing. In this paper, we introduce a novel neutral networkarchitecture that benefits from both word- and character-level representationsautomatically, by using combination of bidirectional LSTM, CNN and CRF. Oursystem is truly end-to-end, requiring no feature engineering or datapre-processing, thus making it applicable to a wide range of sequence labelingtasks. We evaluate our system on two data sets for two sequence labeling tasks--- Penn Treebank WSJ corpus for part-of-speech (POS) tagging and CoNLL 2003corpus for named entity recognition (NER). We obtain state-of-the-artperformance on both the two data --- 97.55\% accuracy for POS tagging and91.21\% F1 for NER.","['cs.LG', 'cs.CL', 'stat.ML']",1349,http://arxiv.org/abs/1603.01354v5,http://scholar.google.com/scholar?oi=bibs&cluster=8126192794758048585&btnI=1&nossl=1&hl=en&oe=ASCII,Proceedings of the 54th Annual Meeting of the Association for Computational …
24,Lipstick on a Pig: Debiasing Methods Cover up Systematic Gender Biases  in Word Embeddings But do not Remove Them,"['Yoav Goldberg', 'Hila Gonen']",2019-03-09T19:56:47Z,2019-09-24T07:43:00Z,"Word embeddings are widely used in NLP for a vast range of tasks. It wasshown that word embeddings derived from text corpora reflect gender biases insociety. This phenomenon is pervasive and consistent across different wordembedding models, causing serious concern. Several recent works tackle thisproblem, and propose methods for significantly reducing this gender bias inword embeddings, demonstrating convincing results. However, we argue that thisremoval is superficial. While the bias is indeed substantially reducedaccording to the provided bias definition, the actual effect is mostly hidingthe bias, not removing it. The gender bias information is still reflected inthe distances between ""gender-neutralized"" words in the debiased embeddings,and can be recovered from them. We present a series of experiments to supportthis claim, for two debiasing methods. We conclude that existing bias removaltechniques are insufficient, and should not be trusted for providinggender-neutral modeling.",['cs.CL'],100,http://arxiv.org/abs/1903.03862v2,http://scholar.google.com/scholar?oi=bibs&cluster=8954091472837868959&btnI=1&nossl=1&hl=en&oe=ASCII,"NAACL-HLT (1), 609-614"
25,Latent Predictor Networks for Code Generation,"['Andrew Senior', 'Fumin Wang', 'Tomáš Kočiský', 'Phil Blunsom', 'Wang Ling', 'Karl Moritz Hermann', 'Edward Grefenstette']",2016-03-22T11:41:51Z,2016-06-08T14:46:00Z,"Many language generation tasks require the production of text conditioned onboth structured and unstructured inputs. We present a novel neural networkarchitecture which generates an output sequence conditioned on an arbitrarynumber of input functions. Crucially, our approach allows both the choice ofconditioning context and the granularity of generation, for example charactersor tokens, to be marginalised, thus permitting scalable and effective training.Using this framework, we address the problem of generating programming codefrom a mixed natural language and structured specification. We create two newdata sets for this paradigm derived from the collectible trading card gamesMagic the Gathering and Hearthstone. On these, and a third preexisting corpus,we demonstrate that marginalising multiple predictors allows our model tooutperform strong benchmarks.","['cs.CL', 'cs.NE']",183,http://arxiv.org/abs/1603.06744v2,http://scholar.google.com/scholar?oi=bibs&cluster=15700819353315373066&btnI=1&nossl=1&hl=en&oe=ASCII,Proceedings of the 54th Annual Meeting of the Association for Computational …
26,Annotation Artifacts in Natural Language Inference Data,"['Suchin Gururangan', 'Samuel R. Bowman', 'Omer Levy', 'Swabha Swayamdipta', 'Noah A. Smith', 'Roy Schwartz']",2018-03-06T18:23:08Z,2018-04-16T22:14:06Z,"Large-scale datasets for natural language inference are created by presentingcrowd workers with a sentence (premise), and asking them to generate three newsentences (hypotheses) that it entails, contradicts, or is logically neutralwith respect to. We show that, in a significant portion of such data, thisprotocol leaves clues that make it possible to identify the label by lookingonly at the hypothesis, without observing the premise. Specifically, we showthat a simple text categorization model can correctly classify the hypothesisalone in about 67% of SNLI (Bowman et. al, 2015) and 53% of MultiNLI (Williamset. al, 2017). Our analysis reveals that specific linguistic phenomena such asnegation and vagueness are highly correlated with certain inference classes.Our findings suggest that the success of natural language inference models todate has been overestimated, and that the task remains a hard open problem.","['cs.CL', 'cs.AI']",241,http://arxiv.org/abs/1803.02324v2,http://scholar.google.com/scholar?oi=bibs&cluster=1317984343761015094&btnI=1&nossl=1&hl=en&oe=ASCII,"NAACL-HLT (2), 107-112"
27,Semi-Supervised Learning for Neural Machine Translation,"['Maosong Sun', 'Yong Cheng', 'Zhongjun He', 'Hua Wu', 'Wei He', 'Wei Xu', 'Yang Liu']",2016-06-15T00:22:27Z,2016-12-10T20:02:52Z,"While end-to-end neural machine translation (NMT) has made remarkableprogress recently, NMT systems only rely on parallel corpora for parameterestimation. Since parallel corpora are usually limited in quantity, quality,and coverage, especially for low-resource languages, it is appealing to exploitmonolingual corpora to improve NMT. We propose a semi-supervised approach fortraining NMT models on the concatenation of labeled (parallel corpora) andunlabeled (monolingual corpora) data. The central idea is to reconstruct themonolingual corpora using an autoencoder, in which the source-to-target andtarget-to-source translation models serve as the encoder and decoder,respectively. Our approach can not only exploit the monolingual corpora of thetarget language, but also of the source language. Experiments on theChinese-English dataset show that our approach achieves significantimprovements over state-of-the-art SMT and NMT systems.",['cs.CL'],142,http://arxiv.org/abs/1606.04596v3,http://scholar.google.com/scholar?oi=bibs&cluster=6243971294235517477&btnI=1&nossl=1&hl=en&oe=ASCII,Proceedings of the 54th Annual Meeting of the Association for Computational …
